# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Extracted from the official PDF. 2649 entries. Example sentences deliberately EXCLUDED (copyright);
# only factual lemma data is kept (headword, article, plural, Partizip II, auxiliary) + an English gloss.
# Conventions:  N = Nomen (article + plural, reconstructed from the list's umlaut markers)
#               V = Verb  (partizip_2 + hilfsverb = haben/sein)
#               X = adjective / adverb / particle / phrase
# STATUS: grammar 100% complete for all 2649. English meanings authored so far: 207/2649 (alphabetical; A done).
#         Empty 'english' = still needs a gloss. 'index' is the stable key — author meanings against it.
index	pos	article	word	plural	partizip_2	hilfsverb	english
77	V		ankommen		angekommen	sein	to arrive
78	N	die	Ankunft				arrival
79	N	die	Anlage	Anlagen			facility; enclosure; system
80	V		anmelden		angemeldet	haben	to register; sign up
81	N	die	Anmeldung	Anmeldungen			registration; reception
82	N	die	Anrede	Anreden			form of address (salutation)
83	V		anrufen		angerufen	haben	to phone; call
84	N	der	Anruf	Anrufe			phone call
85	N	der	Anrufbeantworter	Anrufbeantworter			answering machine
86	N	die	Ansage	Ansagen			announcement
87	V		anschaffen		angeschafft	haben	to buy; acquire
88	V		anschließen		angeschlossen	haben	to connect
89	N	der	Anschluss	Anschlüsse			connection
90	V		anschnallen		angeschnallt	haben	to fasten one's seatbelt
91	V		ansehen		angesehen	haben	to look at; watch
92	V		ansprechen		angesprochen	haben	to approach; speak to
93	N	der	Anspruch	Anspruch			claim; entitlement
94	V		anstellen		angestellt	haben	to switch on; employ; queue
95	N	der	Angestellte	Angestellten			employee
96	V		sich anstrengen		sich angestrengt	haben	to make an effort
97	X		anstrengend				exhausting; strenuous
98	N	der	Antrag	Anträge			application (form)
99	V		anwenden		angewandt/ angewendet	haben	to apply; use
100	X		anwesend				present (in attendance)
101	V		antworten		geantwortet	haben	to answer
102	N	die	Antwort	Antworten			answer; reply
103	N	der	Anwalt	Anwälte			lawyer
104	V		anzeigen		angezeigt	haben	to report (to police); display
105	N	die	Anzeige	Anzeigen			advert; (police) report
106	V		anziehen		angezogen	haben	to put on; get dressed
107	N	der	Anzug	Anzüge			suit
108	N	das	Apartment	Apartments			apartment
109	N	der	Apfel	Äpfel			apple
110	N	die	Apotheke	Apotheken			pharmacy
111	N	der	Apparat	Apparate			device; (phone) extension
112	N	der	Appetit				appetite
113	N	die	Aprikose	Aprikosen			apricot
114	V		arbeiten		gearbeitet	haben	to work
115	N	die	Arbeit	Arbeiten			work; job
116	N	der	Arbeiter	Arbeiter			worker
117	N	der	Arbeitgeber	Arbeitgeber			employer
118	N	der	Arbeitnehmer	Arbeitnehmer			employee
119	N	die	Arbeitserlaubnis				work permit
120	X		arbeitslos				unemployed
121	N	die	Arbeitslosigkeit				unemployment
122	N	der	Arbeitsplatz	Arbeitsplätze			workplace; job
123	N	die	Arbeitsstelle	Arbeitsstellen			job; position
124	V		ärgern		geärgert	haben	to annoy; get annoyed
125	N	der	Ärger				trouble; annoyance
126	X		ärgerlich				annoying; annoyed
127	X		arm				poor
128	N	der	Arm	Arme			arm
129	N	die	Art	Arten			kind; type; manner
130	N	der	Artikel	Artikel			article
131	N	der	Arzt	Ärzte			doctor
132	N	das	Asyl				asylum
133	V		atmen		geatmet	haben	to breathe
134	X		auch				also; too
135	X		auf				on; onto; open
136	N	der	Aufenthalt	Aufenthalte			stay; stopover
137	V		auffallen		aufgefallen	sein	to stand out; catch the eye
138	N	die	Aufforderung	Aufforderungen			request; demand
139	V		aufführen		aufgeführt	haben	to perform (on stage)
140	N	die	Aufgabe	Aufgaben			task; exercise
141	V		aufgeben		aufgegeben	haben	to give up; post (a parcel)
142	V		aufhalten		aufgehalten	haben	to hold up; delay
143	V		aufheben		aufgehoben	haben	to pick up; keep
144	V		aufhören		aufgehört	haben	to stop
145	V		auflösen		aufgelöst	haben	to dissolve
146	X		aufmerksam				attentive
147	V		aufnehmen		aufgenommen	haben	to record; take in; admit
148	N	die	Aufnahme	Aufnahmen			recording; admission
149	V		aufpassen		aufgepasst	haben	to pay attention; look after
150	V		aufräumen		aufgeräumt	haben	to tidy up
151	V		aufregen		aufgeregt	haben	to upset; get worked up
152	V		auf sein		auf gewesen	sein	to be open; be up (awake)
153	V		aufstehen		aufgestanden	sein	to get up; stand up
154	N	der	Auftrag	Aufträge			order; assignment
155	V		auftreten		aufgetreten	sein	to perform; appear
156	V		aufwachen		aufgewacht	sein	to wake up
157	X		aufwärts				upward(s)
158	N	der	Aufzug	Aufzüge			lift; elevator
159	N	das	Auge	Augen			eye
160	N	der	Augenblick	Augenblicke			moment; instant
161	X		aus				from; out of; off
162	N	die	Ausbildung	Ausbildungen			vocational training
163	N	der	Ausbildungsplatz	Ausbildungsplätze			apprenticeship place
164	X		ausgebildet				trained; qualified
165	V		ausdrucken		ausgedruckt	haben	to print out
166	N	der	Ausdruck	Ausdrücke			expression; printout
167	X		auseinander				apart
168	N	die	Ausfahrt	Ausfahrten			exit (motorway); driveway
169	V		ausfallen		ausgefallen	sein	to be cancelled; fail
170	N	der	Ausflug	Ausflüge			excursion; outing
171	V		ausfüllen		ausgefüllt	haben	to fill in (a form)
172	V		ausgeben		ausgegeben	haben	to spend (money)
173	N	die	Ausgabe	Ausgaben			expense; edition; issue
174	V		ausgehen		ausgegangen	sein	to go out; turn out
175	N	der	Ausgang	Ausgänge			exit; way out
176	N	die	Aushilfe	Aushilfen			temporary help; stand-in
177	N	die	Auskunft	Auskünfte			information
178	N	das	Ausland				abroad
179	N	der	Ausländer	Ausländer			foreigner
180	X		ausländisch				foreign
181	V		ausmachen		ausgemacht	haben	to turn off; arrange; matter
182	N	die	Ausnahme	Ausnahmen			exception
183	X		ausreichend				sufficient; adequate
184	V		ausrichten		ausgerichtet	haben	to pass on (a message)
185	V		ausschließen		ausgeschlossen	haben	to rule out; exclude
186	X		ausschließlich				exclusively; only
187	V		aussehen		ausgesehen	haben	to look; appear
188	V		aus sein		aus gewesen	sein	to be off; be over
189	X		außen				outside
190	X		außer				except (for); besides
191	X		äußerlich				external(ly)
192	X		außerdem				besides; in addition
193	X		außerhalb				outside (of)
194	N	die	Aussicht	Aussichten			view; prospect
195	V		aussprechen		ausgesprochen	haben	to pronounce
196	N	die	Aussprache				pronunciation
197	V		ausstellen		ausgestellt	haben	to display; issue (a document)
198	N	die	Ausstellung	Ausstellungen			exhibition
199	V		aussuchen		ausgesucht	haben	to choose; pick out
200	V		auswählen		ausgewählt	haben	to select
201	N	der	Ausweis	Ausweise			ID card
202	V		ausziehen		ausgezogen	haben/sein	to take off; move out
203	N	der	Auszubildende	Auszubildenden			apprentice; trainee
204	N	das	Auto	Autos			car
205	N	die	Autobahn	Autobahnen			motorway
206	N	der	Automat	Automaten			vending machine
207	X		automatisch				
208	N	das	Baby	Babys			
209	N	der	Babysitter	Babysitter			
210	V		backen		gebacken	haben	
211	N	die	Bäckerei	Bäckereien			
212	V		baden		gebadet	haben	
213	N	das	Bad	Bäder			
214	N	die	Badewanne	Badewannen			
215	N	die	Bahn	Bahnen			
216	X		S-Bahn				
217	N	die	Straßenbahn	Straßenbahnen			
218	N	die	U-Bahn	U-Bahnen			
219	N	der	Bahnhof	Bahnhöfe			
220	N	der	Bahnsteig	Bahnsteige			
221	X		bald				
222	N	der	Balkon	Balkone			
223	N	der	Ball	Bälle			
224	N	die	Banane	Bananen			
225	N	die	Bank	Bänke			
226	N	die	Bankleitzahl	Bankleitzahlen			
227	X		bar				
228	N	das	Bargeld				
229	N	der	Bart	Bärte			
230	N	die	Batterie	Batterien			
231	N	der	Bauch	Bäuche			
232	V		bauen		gebaut	haben	
233	N	der	Bau	Bauten			
234	N	die	Baustelle	Baustellen			
235	N	der	Bauer	Bauern			
236	N	der	Baum	Bäume			
237	V		beachten		beachtet	haben	
238	N	der	Beamte	Beamten			
239	V		beantragen		beantragt	haben	
240	V		beantworten		beantwortet	haben	
241	V		sich bedanken		bedankt	haben	
242	V		bedeuten		bedeutet	haben	
243	V		bedienen		bedient	haben	
244	N	die	Bedienungsanleitung	Bedienungsanleitungen			
245	N	die	Bedingung	Bedingungen			
246	V		sich beeilen		sich beeilt	haben	
247	V		beenden		beendet	haben	
248	V		sich befinden		sich befunden	haben	
249	X		befreit				
250	X		befriedigend				
251	V		begegnen		begegnet	sein	
252	X		begeistert				
253	V		beginnen		begonnen	haben	
254	N	der	Beginn				
255	V		begleiten		begleitet	haben	
256	X		begrenzt				
257	V		begründen		begründet	haben	
258	N	die	Begründung	Begründungen			
259	V		begrüßen		begrüßt	haben	
260	V		behalten		behalten	haben	
261	V		behandeln		behandelt	haben	
262	V		behindern		behindert	haben	
263	N	die	Behörde	Behörden			
264	X		bei				
265	X		beid				
266	N	das	Bein	Beine			
267	X		beinahe				
268	N	das	Beispiel	Beispiele			
269	X		zum Beispiel				
270	N	der	Beitrag	Beiträge			
271	X		bekannt				
272	N	der	Bekannte	Bekannten			
273	V		bekannt geben		bekannt gegeben	haben	
274	V		bekommen		bekommen	haben	
275	N	der	Beleg	Belege			
276	V		beleidigen		beleidigt	haben	
277	X		beliebt				
278	V		bemerken		bemerkt	haben	
279	V		benötigen		benötigt	haben	
280	V		benutzen		benutzt	haben	
281	N	das	Benzin				
282	V		beobachten		beobachtet	haben	
283	X		bequem				
284	V		beraten		beraten	haben	
285	N	die	Beratung				
286	V		berechnen		berechnet	haben	
287	X		berechtigt				
288	N	der	Bereich	Bereiche			
289	X		bereit				
290	X		bereits				
291	N	der	Berg	Berge			
292	V		berichten		berichtet	haben	
293	N	der	Bericht	Berichte			
294	N	der	Beruf	Berufe			
295	X		beruflich				
296	X		berufstätig				
297	V		beruhigen		beruhigt	haben	
298	X		berühmt				
299	V		beschädigen		beschädigt	haben	
300	V		beschäftigen		beschäftigt	haben	
301	N	die	Beschäftigung				
302	N	der	Bescheid	Bescheide			
303	X		Bescheid sagen				
304	X		Bescheid geben				
305	N	die	Bescheinigung	Bescheinigungen			
306	V		beschließen		beschlossen	haben	
307	V		beschränken		beschränkt	haben	
308	V		beschreiben		beschrieben	haben	
309	N	die	Beschreibung	Beschreibungen			
310	V		sich beschweren		sich beschwert	haben	
311	V		besetzen		besetzt	haben	
312	V		besichtigen		besichtigt	haben	
313	V		besitzen		besessen	haben	
314	X		besonder-				
315	X		besonders				
316	V		besorgen		besorgt	haben	
317	V		besprechen		besprochen	haben	
318	N	die	Besprechung	Besprechungen			
319	N	die	Besserung				
320	V		bestätigen		bestätigt	haben	
321	N	die	Bestätigung	Bestätigungen			
322	V		bestellen		bestellt	haben	
323	X		bestimmt				
324	V		bestrafen		bestraft	haben	
325	V		besuchen		besucht	haben	
326	N	der	Besuch	Besuche			
327	V		sich beteiligen		sich beteiligt	haben	
328	N	der	Betrag	Beträge			
329	V		betreuen		betreut	haben	
330	N	die	Betreuung				
331	N	der	Betrieb	Betriebe			
332	N	der	Betriebsrat	Betriebsräte			
333	V		betrügen		betrogen	haben	
334	N	das	Bett	Betten			
335	X		betrunken				
336	N	die	Bevölkerung				
337	X		bevor				
338	V		bewegen		bewegt	haben	
339	N	die	Bewegung	Bewegungen			
340	V		beweisen		bewiesen	haben	
341	N	der	Beweis	Beweise			
342	V		sich bewerben		sich beworben	haben	
343	N	die	Bewerbung	Bewerbungen			
344	N	der	Bewohner	Bewohner			
345	V		bezahlen		bezahlt	haben	
346	N	die	Beziehung	Beziehungen			
347	N	die	Bibliothek	Bibliotheken			
348	N	das	Bier				
349	N	der	Biergarten	Biergärten			
350	V		bieten		geboten	haben	
351	N	das	Bild	Bilder			
352	N	der	Bildschirm	Bildschirme			
353	X		billig				
354	X		bio(logisch)				
355	N	die	Birne	Birnen			
356	X		bis				
357	X		ein bisschen				
358	V		bitten		gebeten	haben	
359	N	die	Bitte	Bitten			
360	X		bitte				
361	X		bitter				
362	X		blass				
363	N	das	Blatt	Blätte			
364	X		blau				
365	V		bleiben		geblieben	sein	
366	N	der	Bleistift	Bleistifte			
367	N	der	Blick	Blicke			
368	N	der	Blitz	Blitze			
369	X		blond				
370	X		bloß				
371	V		blühen		geblüht	haben	
372	N	die	Blume	Blumen			
373	N	die	Bluse	Blusen			
374	V		bluten		geblutet	haben	
375	N	das	Blut				
376	N	der	Boden	Böden			
377	N	der	Bogen	Bögen			
378	N	die	Bohne	Bohnen			
379	N	das	Bonbon	Bonbons			
380	N	das	Boot	Boote			
381	N	die	Botschaft	Botschaften			
382	X		böse				
383	V		braten		gebraten	haben	
384	N	der	Braten	Braten			
385	V		brauchen		gebraucht	haben	
386	X		braun				
387	V		brechen		gebrochen	haben	
388	X		breit				
389	N	die	Breite	Breiten			
390	V		bremsen		gebremst	haben	
391	N	die	Bremse	Bremsen			
392	V		brennen		gebrannt	haben	
393	N	der	Brief	Briefe			
394	N	der	Briefkasten	Briefkästen			
395	N	die	Briefmarke	Briefmarken			
396	N	der	Briefträger	Briefträger			
397	N	der	Briefumschlag	Briefumschläge			
398	N	die	Brille	Brillen			
399	V		bringen		gebracht	haben	
400	N	die	Broschüre	Broschüren			
401	N	das	Brot	Brote			
402	N	das	Brötchen	Brötchen			
403	N	die	Brücke	Brücken			
404	N	der	Bruder	Brüder			
405	N	die	Brust				
406	N	das	Buch	Bücher			
407	N	die	Buchhandlung	Buchhandlungen			
408	N	die	Bücherei	Büchereien			
409	V		buchen		gebucht	haben	
410	V		buchstabieren		buchstabiert	haben	
411	N	der	Buchstabe	Buchstaben			
412	X		bunt				
413	N	der	Bürger	Bürger			
414	N	das	Bürgerbüro	Bürgerbüros			
415	N	der	Bürgersteig	Bürgersteige			
416	N	das	Büro	Büros			
417	N	die	Bürste	Bürsten			
418	N	die	Zahnbürste	Zahnbürsten			
419	N	der	Bus	Busse			
420	N	die	Butter				
421	N	das	Café	Cafés			
422	N	das	Camping				
423	N	die	CD	CDs			
424	N	die	CD-ROM	CD-ROMs			
425	N	die	Chance	Chancen			
426	X		chatten				
427	N	der	Chef	Chefs			
428	N	die	Chemie				
429	X		circa				
430	N	der	Club	Clubs			
431	N	die	Cola				
432	N	die	Couch	Couchs			
433	N	der	Cousin	Cousins			
434	N	der	Computer	Computer			
435	N	die	Creme	Cremes			
436	X		da				
437	X		da sein				
438	X		dabei sein				
439	N	das	Dach	Dächer			
440	X		dafür				
441	X		dafür sein				
442	X		dagegen sein				
443	X		daher				
444	X		dahin				
445	X		damals				
446	N	die	Dame	Damen			
447	X		damit				
448	X		danach				
449	X		daneben				
450	V		danken		gedankt	haben	
451	N	der	Dank				
452	X		danke				
453	X		dankbar				
454	X		dann				
455	X		dass				
456	N	die	Datei	Dateien			
457	N	das	Datum	Daten			
458	V		dauern		gedauert	haben	
459	N	die	Decke	Decken			
460	N	die	Demokratie	Demokratien			
461	X		demokratisch				
462	V		denken		gedacht	haben	
463	X		denn				
464	X		derselbe				
465	X		deshalb				
466	X		je … desto				
467	X		deswegen				
468	X		deutlich				
469	N	die	Diät				
470	X		dicht				
471	X		dick				
472	N	der	Dieb	Diebe			
473	N	der	Dienst				
474	X		dies				
475	N	der	Diesel				
476	X		diesmal				
477	X		digital				
478	N	das	Ding	Dinge			
479	X		direkt				
480	N	der	Direktor	Direktoren			
481	N	die	Diskothek	Diskotheken			
482	V		diskutieren		diskutiert	haben	
483	N	die	Diskussion	Diskussionen			
484	X		doch				
485	N	der	Doktor				
486	X		doppelt				
487	X		Doppel-				
488	N	das	Dorf	Dörfer			
489	X		dort				
490	X		dorthin				
491	N	die	Dose	Dosen			
492	X		draußen				
493	V		drehen		gedreht	haben	
494	X		dringend				
495	X		drin				
496	N	die	Drogerie	Drogerien			
497	X		drüben				
498	V		drucken		gedruckt	haben	
499	N	der	Drucker	Drucker			
500	V		drücken		gedrückt	haben	
501	N	der	Druck				
502	X		dumm				
503	X		dunkel				
504	X		dünn				
505	X		durch				
506	X		durcheinander				
507	N	die	Durchsage	Durchsagen			
508	X		durchschnittlich				
509	X		dürfen				
510	N	der	Durst				
511	V		duschen		geduscht	haben	
512	N	die	Dusche	Duschen			
513	N	die	DVD	DVDs			
514	X		eben				
515	X		ebenfalls				
516	X		ebenso				
517	X		echt				
518	X		die ec-Karte				
519	N	die	Ecke	Ecken			
520	X		egal				
521	N	die	Ehe	Ehen			
522	N	die	Ehefrau	Ehefrauen			
523	N	der	Ehegatte	Ehegatten			
524	N	das	Ehepaar	Ehepaare			
525	X		eher				
526	N	die	Ehre				
527	N	das	Ei	Eier			
528	X		eigen-				
529	X		eigentlich				
530	V		sich eignen		geeignet	haben	
531	V		eilen		geeilt	haben	
532	N	die	Eile				
533	X		eilig				
534	X		ein-				
535	N	die	Einbahnstraße	Einbahnstraßen			
536	V		einbrechen		eingebrochen	sein	
537	N	der	Einbrecher	Einbrecher			
538	N	der	Einbruch	Einbrüche			
539	X		eindeutig				
540	N	der	Eindruck	Eindrücke			
541	X		einerseits				
542	X		einfach				
543	N	die	Einfahrt	Einfahrten			
544	V		einfallen		eingefallen	sein	
545	N	der	Einfall	Einfälle			
546	N	der	Einfluss	Einflüsse			
547	N	die	Einführung	Einführungen			
548	N	der	Eingang	Eingänge			
549	X		einig-				
550	V		einigen		geeinigt	haben	
551	V		einkaufen		eingekauft	haben	
552	N	der	Einkauf	Einkäufe			
553	N	das	Einkommen	Einkommen			
554	V		einladen		eingeladen	haben	
555	N	die	Einladung	Einladungen			
556	X		einmal				
557	V		einnehmen		eingenommen	haben	
558	N	die	Einnahme	Einnahmen			
559	V		einpacken		eingepackt	haben	
560	V		einrichten		eingerichtet	haben	
561	N	die	Einrichtung	Einrichtungen			
562	X		einsam				
563	V		einschalten		eingeschaltet	haben	
564	X		einschließlich				
565	N	das	Einschreiben	Einschreiben			
566	V		einsetzen		eingesetzt	haben	
567	V		einsteigen		eingestiegen	sein	
568	V		einstellen		eingestellt	haben	
569	V		eintragen		eingetragen	haben	
570	V		eintreten		eingetreten	sein	
571	N	der	Eintritt				
572	X		einverstanden				
573	N	der	Einwohner	Einwohner			
574	V		einzahlen		eingezahlt	haben	
575	X		einzeln				
576	X		Einzel-				
577	N	die	Einzelheit	Einzelheiten			
578	X		einzig-				
579	V		einziehen		eingezogen	sein	
580	N	das	Eis				
581	N	das	Eisen				
582	N	die	Eisenbahn	Eisenbahnen			
583	X		elegant				
584	X		elektrisch				
585	X		Elektro-				
586	X		elektronisch				
587	N	die	Eltern				
588	N	der	Elternabend	Elternabende			
589	N	der	Elternbeirat	Elternbeiräte			
590	N	die	E-Mail	E-Mails			
591	V		empfangen		empfangen	haben	
592	N	der	Empfang	Empfänge			
593	V		empfehlen		empfohlen	haben	
594	N	die	Empfehlung	Empfehlungen			
595	V		enden		geendet	haben	
596	N	das	Ende				
597	X		endgültig				
598	X		endlich				
599	N	die	Energie	Energien			
600	X		eng				
601	N	der	Enkel	Enkel			
602	V		entdecken		entdeckt	haben	
603	X		entfernt				
604	N	die	Entfernung	Entfernungen			
605	X		entgegenkommen				
606	V		enthalten		enthalten	haben	
607	X		entlang				
608	V		entlassen		entlassen	haben	
609	V		entscheiden		entschieden	haben	
610	N	die	Entscheidung	Entscheidungen			
611	V		sich entschließen		sich entschlossen	haben	
612	X		entschlossen sein				
613	V		entschuldigen		entschuldigt	haben	
614	N	die	Entschuldigung	Entschuldigungen			
615	V		entsorgen		entsorgt	haben	
616	X		entspannend				
617	V		entstehen		entstanden	sein	
618	V		enttäuschen		enttäuscht	haben	
619	N	die	Enttäuschung	Enttäuschungen			
620	X		entweder ... oder				
621	V		entwickeln		entwickelt	haben	
622	N	die	Entwicklung	Entwicklungen			
623	N	die	Erde				
624	N	das	Erdgeschoss	Erdgeschosse			
625	N	das	Ereignis	Ereignisse			
626	V		erfahren		erfahren	haben	
627	N	die	Erfahrung	Erfahrungen			
628	V		erfinden		erfunden	haben	
629	N	die	Erfindung	Erfindungen			
630	N	der	Erfolg	Erfolge			
631	X		erfolgreich				
632	V		erfordern		erfordert	haben	
633	X		erforderlich				
634	V		erfüllen		erfüllt	haben	
635	V		ergänzen		ergänzt	haben	
636	N	das	Ergebnis	Ergebnisse			
637	V		erhalten		erhalten	haben	
638	V		erhöhen		erhöht	haben	
639	N	die	Erhöhung	Erhöhungen			
640	V		sich erholen		sich erholt	haben	
641	N	die	Erholung	Erholungen			
642	V		erinnern		erinnert	haben	
643	N	die	Erinnerung	Erinnerungen			
644	V		sich erkälten		sich erkältet	haben	
645	X		erkältet sein				
646	V		erkennen		erkannt	haben	
647	V		erklären		erklärt	haben	
648	N	die	Erklärung	Erklärungen			
649	V		erkundigen		erkundigt	haben	
650	V		erlauben		erlaubt	haben	
651	N	die	Erlaubnis				
652	V		erleben		erlebt	haben	
653	N	das	Erlebnis	Erlebnisse			
654	V		erledigen		erledigt	haben	
655	V		erleichtern		erleichtert	haben	
656	N	die	Ermäßigung	Ermäßigungen			
657	V		ernähren		ernährt	haben	
658	N	die	Ernährung				
659	X		ernst				
660	V		eröffnen		eröffnet	haben	
661	N	die	Eröffnung	Eröffnungen			
662	V		erreichen		erreicht	haben	
663	N	der	Ersatz				
664	N	das	Ersatzteil	Ersatzteile			
665	X		erschöpft				
666	V		erschrecken		erschreckt	haben	
667	V		ersetzen		ersetzt	haben	
668	X		erst				
669	X		erst				
670	V		erstellen		erstellt	haben	
671	N	der	Erwachsene	Erwachsenen			
672	V		erwarten		erwartet	haben	
673	V		erzählen		erzählt	haben	
674	V		erziehen		erzogen	haben	
675	N	die	Erziehung				
676	X		es				
677	V		essen		gegessen	haben	
678	N	das	Essen	Essen			
679	N	der	Essig				
680	X		etwa				
681	X		etwas				
682	X		eventuell				
683	X		ewig				
684	N	der	Experte	Experten			
685	N	der	Export	Exporte			
686	X		extra				
687	X		extrem				
688	N	die	Fabrik	Fabriken			
689	N	das	Fach	Fächer			
690	N	der	Fachmann				
691	N	die	Fachleute				
692	N	die	Fähre	Fähren			
693	V		fahren		gefahren	haben/sein	
694	N	die	Fahrbahn	Fahrbahnen			
695	N	der	Fahrer	Fahrer			
696	N	die	Fahrkarte	Fahrkarten			
697	N	der	Fahrplan	Fahrpläne			
698	N	das	Fahrrad	Fahrräder			
699	N	die	Fahrschule	Fahrschulen			
700	N	das	Fahrzeug	Fahrzeuge			
701	X		fair				
702	V		fallen		gefallen	sein	
703	N	der	Fall	Fälle			
704	X		fällig				
705	X		falls				
706	X		falsch				
707	N	die	Familie	Familien			
708	N	der	Familienstand				
709	N	der	Fan	Fans			
710	V		fangen		gefangen	haben	
711	N	die	Fantasie	Fantasie			
712	N	die	Farbe	Farben			
713	X		farbig				
714	X		fast				
715	X		faul				
716	V		faxen		gefaxt	haben	
717	N	das	Fax	Faxe			
718	V		fehlen		gefehlt	haben	
719	N	der	Fehler	Fehler			
720	V		feiern		gefeiert	haben	
721	N	die	Feier	Feiern			
722	N	der	Feierabend				
723	N	der	Feiertag	Feiertage			
724	N	das	Fenster	Fenster			
725	N	die	Ferien				
726	N	die	Fernbedienung	Fernbedienungen			
727	V		fernsehen		ferngesehen	haben	
728	N	das	Fernsehen				
729	N	der	Fernseher	Fernseher			
730	X		fertig				
731	X		fest				
732	N	das	Fest	Feste			
733	N	die	Festplatte	Festplatten			
734	V		festhalten		festgehalten	haben	
735	V		festlegen		festgelegt	haben	
736	V		festnehmen		festgenommen	haben	
737	N	das	Festnetz				
738	V		festsetzen		festgesetzt	haben	
739	V		feststellen		festgestellt	haben	
740	X		fett				
741	N	das	Fett				
742	X		feucht				
743	N	das	Feuer				
744	N	das	Feuerzeug	Feuerzeuge			
745	N	die	Feuerwehr	Feuerwehren			
746	N	das	Fieber				
747	N	die	Figur	Figuren			
748	N	der	Film	Filme			
749	V		finanzieren		finanziert	haben	
750	X		finanziell				
751	V		finden		gefunden	haben	
752	N	der	Finger	Finger			
753	N	die	Firma	Firmen			
754	N	der	Fisch	Fische			
755	X		fit				
756	N	die	Fitness				
757	X		flach				
758	N	die	Fläche	Flächen			
759	N	die	Flasche	Flaschen			
760	N	der	Fleck	Flecken			
761	N	das	Fleisch				
762	X		fleißig				
763	X		flexibel				
764	V		fliegen		geflogen	sein	
765	V		fliehen		geflohen	sein	
766	N	die	Flucht				
