# Goethe-Institut / telc — Deutsch-Test für Zuwanderer (DTZ) alphabetical wordlist (A2–B1)
# Enriched: English glosses (all 2649) + ONE original A2–B1 German example sentence (de_sentence)
# with an English translation (en_sentence). Example sentences are ORIGINAL (the source's own
# examples were excluded for copyright). freq_rank: 1=most common (opensubtitles de_50k).
# Columns are tab-separated.
index	pos	article	word	plural	partizip_2	hilfsverb	english	de_sentence	en_sentence	freq_rank
24	V		abwaschen		abgewaschen	haben	to wash up (dishes)	Wer kocht, muss danach nicht abwaschen.	Whoever cooks does not have to wash up afterwards.	2278
25	X		ach				oh	Ach, das habe ich ganz vergessen!	Oh, I completely forgot that!	128
26	V		achten auf		geachtet	haben	to pay attention to	Beim Kochen achte ich auf die Menge der Zutaten.	When cooking I pay attention to the quantity of the ingredients.	1183
27	N	die	Achtung				attention; respect	Achtung, der Zug fährt gleich ab!	Attention, the train is about to depart!	687
28	N	die	Adresse	Adressen			address	Schreib deine Adresse bitte leserlich auf das Formular.	Please write your address legibly on the form.	712
29	N	die	Agentur	Agenturen			agency	Die Agentur hilft uns bei der Suche nach neuen Mitarbeitern.	The agency helps us find new employees.	1671
30	X		ähnlich				similar	Die beiden Schwestern sehen sich sehr ähnlich.	The two sisters look very similar to each other.	878
31	X		aha				aha; I see	Aha, jetzt verstehe ich das Problem besser.	Aha, now I understand the problem better.	758
32	N	die	Ahnung	Ahnungen			idea; clue	Ich habe keine Ahnung, wo mein Schlüssel ist.	I have no idea where my key is.	219
33	N	die	Aktion	Aktionen			campaign; promotion	Der Supermarkt hat eine Aktion: drei Produkte zum Preis von zwei.	The supermarket has a promotion: three products for the price of two.	1504
34	X		aktiv				active	Mein Großvater ist trotz seines Alters noch sehr aktiv.	My grandfather is still very active despite his age.	1614
35	N	die	Aktivität	Aktivitäten			activity	Sport ist eine gesunde Aktivität für Kinder und Erwachsene.	Sport is a healthy activity for children and adults.	2007
36	X		aktuell				current; up to date	Die aktuellen Nachrichten können Sie im Internet lesen.	You can read the latest news on the internet.	2270
37	V		akzeptieren		akzeptiert	haben	to accept	Ich kann diese Erklärung nicht akzeptieren.	I cannot accept this explanation.	1031
38	N	der	Alarm	Alarme			alarm	Der Alarm hat uns mitten in der Nacht geweckt.	The alarm woke us up in the middle of the night.	1038
39	N	der	Alkohol				alcohol	Er trinkt keinen Alkohol mehr, weil es seiner Gesundheit schadet.	He no longer drinks alcohol because it harms his health.	978
40	X		all				all	All ihre Freunde kamen zur Feier.	All her friends came to the celebration.	213
41	X		allein				alone	Sie wohnt seit zwei Jahren allein in dieser Wohnung.	She has been living alone in this apartment for two years.	187
42	X		aller-				the very (most); -est of all	Das ist das Allerbeste, was du mir sagen konntest.	That is the very best thing you could tell me.	560
43	X		allerdings				however; mind you	Das Hotel war schön, allerdings war es sehr teuer.	The hotel was nice, however it was very expensive.	684
44	X		allgemein				general	Im Allgemeinen ist das öffentliche Verkehrsnetz hier gut.	In general, the public transport network here is good.	2091
45	N	der	Alltag				everyday life	Im Alltag spreche ich meistens Deutsch mit meinen Kollegen.	In everyday life I mostly speak German with my colleagues.	2224
46	N	das	Alphabet	Alphabete			alphabet	Die Kinder lernen das Alphabet in der ersten Klasse.	Children learn the alphabet in the first grade.	2324
47	X		als				when; than; as	Als ich jung war, wohnte ich auf dem Land.	When I was young, I lived in the countryside.	34
48	X		als ob				as if	Er tut so, als ob er alles wüsste.	He acts as if he knows everything.	35
49	X		also				so; therefore	Es regnet, also nehme ich den Bus.	It is raining, so I will take the bus.	55
50	X		alt				old	Das alte Haus in unserer Straße wird bald renoviert.	The old house in our street will soon be renovated.	327
51	N	das	Alter				age	In welchem Alter lernen Kinder normalerweise lesen?	At what age do children normally learn to read?	278
52	N	das	Altenheim	Altenheime			old people's home	Meine Großmutter lebt seit einem Jahr im Altenheim.	My grandmother has been living in the old people's home for a year.	2468
53	N	das	Altersheim	Altersheime			old people's home	Das neue Altersheim in unserer Stadt bietet viele Aktivitäten an.	The new old people's home in our town offers many activities.	2280
54	X		an				at; on; to	Sie hängt das Bild an die Wand.	She hangs the picture on the wall.	26
55	N	die	Ampel	Ampeln			traffic light	Warte bitte, bis die Ampel grün wird.	Please wait until the traffic light turns green.	2101
56	N	das	Amt	Ämter			public office; authority	Du musst deinen Ausweis beim Amt beantragen.	You have to apply for your ID card at the public office.	1486
57	V		sich amüsieren		sich amüsiert	haben	to enjoy oneself	Die Kinder haben sich auf dem Fest sehr amüsiert.	The children enjoyed themselves very much at the party.	1397
58	V		analysieren		analysiert	haben	to analyse	Der Arzt analysiert die Testergebnisse genau.	The doctor analyses the test results carefully.	1911
59	V		anbieten		angeboten	haben	to offer	Er bietet ihr einen Platz in seinem Auto an.	He offers her a seat in his car.	1177
60	N	das	Angebot	Angebote			offer; special offer	Das Angebot im Supermarkt gilt nur bis Samstag.	The special offer at the supermarket is only valid until Saturday.	737
61	X		ander-				other	Ich möchte ein anderes Zimmer, dieses ist zu laut.	I would like a different room, this one is too noisy.	2519
62	X		andererseits				on the other hand	Das Haus ist groß, andererseits ist es sehr weit von der Stadt entfernt.	The house is big, on the other hand it is very far from the city.	1604
63	V		ändern		geändert	haben	to change	Er hat seine Meinung zu diesem Thema geändert.	He changed his opinion on this topic.	445
64	N	die	Änderung	Änderungen			change; alteration	Gibt es Änderungen am Fahrplan der Busse?	Are there any changes to the bus timetable?	2106
65	X		anders				differently	Kannst du das bitte anders erklären?	Can you please explain that differently?	268
66	V		anerkennen		anerkannt	haben	to recognise; acknowledge	Der Chef erkennt die gute Arbeit seiner Mitarbeiter an.	The boss acknowledges the good work of his employees.	2265
67	V		anfangen		angefangen	haben	to begin; start	Der Kurs fängt nächsten Montag um neun Uhr an.	The course starts next Monday at nine o'clock.	497
68	N	der	Anfang	Anfänge			beginning; start	Am Anfang des Films war ich sehr gespannt.	At the beginning of the film I was very excited.	530
69	X		anfangs				at first	Anfangs hatte ich Schwierigkeiten mit der deutschen Sprache.	At first I had difficulties with the German language.	1676
70	N	die	Angabe	Angaben			detail; piece of information	Bitte machen Sie alle erforderlichen Angaben auf dem Formular.	Please provide all required details on the form.	2555
71	V		angeben		angegeben	haben	to state; give (details)	Sie gibt ihre neue Adresse im Formular an.	She states her new address on the form.	2060
72	N	der	Angehörige	Angehörigen			relative; family member	Der Arzt informierte den Angehörigen über den Zustand des Patienten.	The doctor informed the relative about the patient's condition.	2256
73	X		angenehm				pleasant	Das Wetter heute ist sehr angenehm und warm.	The weather today is very pleasant and warm.	1280
74	N	die	Angst	Ängste			fear	Viele Menschen haben Angst vor dem Zahnarzt.	Many people are afraid of the dentist.	150
75	X		ängstlich				anxious; timid	Das kleine Kind war ängstlich und wollte nicht allein bleiben.	The small child was anxious and did not want to stay alone.	1829
76	V		anhaben		angehabt	haben	to have on; wear	Was hast du heute zur Arbeit an?	What do you have on for work today?	2038
77	V		ankommen		angekommen	sein	to arrive	Der Zug kommt um 14 Uhr in München an.	The train arrives in Munich at 2 pm.	1474
78	N	die	Ankunft				arrival	Nach der Ankunft am Flughafen holten wir unser Gepäck ab.	After arriving at the airport we collected our luggage.	1399
79	N	die	Anlage	Anlagen			facility; enclosure; system	Die Sportanlage in unserem Viertel ist kostenlos nutzbar.	The sports facility in our neighbourhood is free to use.	1653
80	V		anmelden		angemeldet	haben	to register; sign up	Du musst dich beim Kurs erst online anmelden.	You have to register for the course online first.	2164
81	N	die	Anmeldung	Anmeldungen			registration; reception	Bitte warten Sie kurz – die Anmeldung ist gleich frei.	Please wait a moment – reception will be free shortly.	2351
82	N	die	Anrede	Anreden			form of address (salutation)	In einem formellen Brief beginnt man mit der richtigen Anrede.	In a formal letter you begin with the correct salutation.	2560
83	V		anrufen		angerufen	haben	to phone; call	Ich rufe dich morgen Abend an, damit wir alles besprechen können.	I will call you tomorrow evening so that we can discuss everything.	456
84	N	der	Anruf	Anrufe			phone call	Ich habe einen wichtigen Anruf von meiner Chefin bekommen.	I received an important phone call from my boss.	617
85	N	der	Anrufbeantworter	Anrufbeantworter			answering machine	Da niemand abnahm, sprach ich eine Nachricht auf den Anrufbeantworter.	Since nobody answered, I left a message on the answering machine.	1963
86	N	die	Ansage	Ansagen			announcement	Die Ansage am Bahnhof war leider kaum zu verstehen.	The announcement at the station was unfortunately barely understandable.	2160
87	V		anschaffen		angeschafft	haben	to buy; acquire	Wir haben uns ein neues Sofa angeschafft.	We bought ourselves a new sofa.	2344
88	V		anschließen		angeschlossen	haben	to connect	Kannst du den Drucker bitte ans Netzwerk anschließen?	Can you please connect the printer to the network?	1709
89	N	der	Anschluss	Anschlüsse			connection	Wir haben den Anschluss an den Zug leider verpasst.	We unfortunately missed the connection to the train.	2019
90	V		anschnallen		angeschnallt	haben	to fasten one's seatbelt	Bitte schnallen Sie sich an, bevor das Flugzeug startet.	Please fasten your seatbelt before the plane takes off.	2222
91	V		ansehen		angesehen	haben	to look at; watch	Abends sehen wir oft einen Film zusammen an.	In the evenings we often watch a film together.	548
92	V		ansprechen		angesprochen	haben	to approach; speak to	Sie hat den Verkäufer wegen des Preises angesprochen.	She spoke to the salesperson about the price.	1970
93	N	der	Anspruch	Ansprüche			claim; entitlement	Er hat Anspruch auf mehr Urlaub, weil er so lange gearbeitet hat.	He is entitled to more holiday because he has worked so long.	1645
94	V		anstellen		angestellt	haben	to switch on; employ; queue	Stell bitte die Heizung an, es ist kalt.	Please switch on the heating, it is cold.	1378
95	N	der	Angestellte	Angestellten			employee	Der Angestellte im Büro hilft den Kunden freundlich.	The employee in the office helps customers in a friendly manner.	1912
96	V		sich anstrengen		sich angestrengt	haben	to make an effort	Sie strengt sich in der Schule sehr an, um gute Noten zu bekommen.	She makes a great effort at school to get good grades.	2108
97	X		anstrengend				exhausting; strenuous	Der lange Wandertag war sehr anstrengend, aber schön.	The long hiking day was very exhausting but beautiful.	1640
98	N	der	Antrag	Anträge			application (form)	Er stellt einen Antrag auf Kindergeld beim Finanzamt.	He submits an application for child benefit at the tax office.	1200
99	V		anwenden		angewandt/angewendet	haben	to apply; use	In der Prüfung darf man kein Wörterbuch anwenden.	In the exam you are not allowed to use a dictionary.	2084
100	X		anwesend				present (in attendance)	Alle Schüler waren heute im Unterricht anwesend.	All pupils were present in class today.	1669
101	V		antworten		geantwortet	haben	to answer	Sie antwortete nicht auf meine Frage.	She did not answer my question.	651
102	N	die	Antwort	Antworten			answer; reply	Ich warte noch auf deine Antwort auf meine E-Mail.	I am still waiting for your reply to my email.	501
103	N	der	Anwalt	Anwälte			lawyer	Er hat einen guten Anwalt beauftragt, ihm zu helfen.	He hired a good lawyer to help him.	532
104	V		anzeigen		angezeigt	haben	to report (to police); display	Sie hat den Diebstahl sofort bei der Polizei angezeigt.	She reported the theft to the police immediately.	1758
105	N	die	Anzeige	Anzeigen			advert; (police) report	Ich habe die Anzeige für die Wohnung in der Zeitung gesehen.	I saw the advert for the apartment in the newspaper.	1299
106	V		anziehen		angezogen	haben	to put on; get dressed	Zieh dir eine warme Jacke an, draußen ist es kalt.	Put on a warm jacket, it is cold outside.	1033
107	N	der	Anzug	Anzüge			suit	Er trägt einen dunklen Anzug zum Vorstellungsgespräch.	He wears a dark suit to the job interview.	943
108	N	das	Apartment	Apartments			apartment	Das Apartment liegt zentral und hat zwei Zimmer.	The apartment is centrally located and has two rooms.	1437
109	N	der	Apfel	Äpfel			apple	Ich esse jeden Tag einen Apfel, das ist gesund.	I eat an apple every day, which is healthy.	1628
110	N	die	Apotheke	Apotheken			pharmacy	Die Apotheke um die Ecke hat auch sonntags geöffnet.	The pharmacy around the corner is also open on Sundays.	1891
111	N	der	Apparat	Apparate			device; (phone) extension	Bitte bleiben Sie am Apparat, ich verbinde Sie sofort.	Please hold the line, I will connect you right away.	1505
112	N	der	Appetit				appetite	Nach dem langen Spaziergang hatte ich großen Appetit.	After the long walk I had a big appetite.	1283
113	N	die	Aprikose	Aprikosen			apricot	Ich kaufe frische Aprikosen auf dem Markt.	I buy fresh apricots at the market.	2568
114	V		arbeiten		gearbeitet	haben	to work	Mein Vater arbeitet seit zwanzig Jahren in derselben Firma.	My father has been working at the same company for twenty years.	231
115	N	die	Arbeit	Arbeiten			work; job	Die Arbeit im Büro beginnt täglich um acht Uhr.	The work in the office starts at eight o'clock every day.	171
116	N	der	Arbeiter	Arbeiter			worker	Der Arbeiter repariert die Straße vor unserem Haus.	The worker is repairing the road in front of our house.	1319
117	N	der	Arbeitgeber	Arbeitgeber			employer	Der Arbeitgeber muss den Lohn pünktlich zahlen.	The employer must pay the wage on time.	1983
118	N	der	Arbeitnehmer	Arbeitnehmer			employee	Jeder Arbeitnehmer hat das Recht auf bezahlten Urlaub.	Every employee has the right to paid holiday.	2569
119	N	die	Arbeitserlaubnis				work permit	Ohne gültige Arbeitserlaubnis darf man hier nicht arbeiten.	Without a valid work permit you are not allowed to work here.	2559
120	X		arbeitslos				unemployed	Nach der Krise wurde er leider arbeitslos.	After the crisis he unfortunately became unemployed.	1881
121	N	die	Arbeitslosigkeit				unemployment	Die Arbeitslosigkeit in der Region ist in den letzten Jahren gestiegen.	Unemployment in the region has risen in recent years.	2406
122	N	der	Arbeitsplatz	Arbeitsplätze			workplace; job	Mein Arbeitsplatz ist zehn Minuten mit dem Fahrrad entfernt.	My workplace is ten minutes away by bicycle.	1991
123	N	die	Arbeitsstelle	Arbeitsstellen			job; position	Sie hat endlich eine neue Arbeitsstelle als Lehrerin gefunden.	She has finally found a new position as a teacher.	2497
124	V		ärgern		geärgert	haben	to annoy; get annoyed	Ich ärgere mich über den langen Stau auf dem Weg zur Arbeit.	I get annoyed about the long traffic jam on the way to work.	1663
125	N	der	Ärger				trouble; annoyance	Er hatte viel Ärger, weil er die Frist verpasst hatte.	He had a lot of trouble because he had missed the deadline.	507
126	X		ärgerlich				annoying; annoyed	Es ist sehr ärgerlich, wenn der Bus wieder zu spät kommt.	It is very annoying when the bus is late again.	2096
127	X		arm				poor	Die Familie war arm, aber trotzdem glücklich.	The family was poor but happy nonetheless.	542
128	N	der	Arm	Arme			arm	Er hat sich beim Sport den Arm verletzt.	He injured his arm during sport.	543
129	N	die	Art	Arten			kind; type; manner	Auf welche Art möchten Sie bezahlen, bar oder mit Karte?	In what manner would you like to pay, cash or by card?	264
130	N	der	Artikel	Artikel			article	Ich habe einen interessanten Artikel über Klimawandel gelesen.	I read an interesting article about climate change.	1008
131	N	der	Arzt	Ärzte			doctor	Der Arzt hat mir Tabletten gegen die Kopfschmerzen verschrieben.	The doctor prescribed me tablets for the headache.	394
132	N	das	Asyl				asylum	Die Familie beantragt Asyl in Deutschland.	The family is applying for asylum in Germany.	2220
133	V		atmen		geatmet	haben	to breathe	Nach dem Laufen atmete ich tief durch.	After running I breathed deeply.	849
134	X		auch				also; too	Mein Bruder spricht auch ein bisschen Französisch.	My brother also speaks a little French.	32
135	X		auf				on; onto; open	Das Buch liegt auf dem Tisch neben der Lampe.	The book is lying on the table next to the lamp.	14
136	N	der	Aufenthalt	Aufenthalte			stay; stopover	Unser Aufenthalt in Wien war leider nur zwei Tage lang.	Our stay in Vienna was unfortunately only two days long.	1810
137	V		auffallen		aufgefallen	sein	to stand out; catch the eye	Ihre bunte Jacke ist mir sofort aufgefallen.	Her colourful jacket caught my eye immediately.	2074
138	N	die	Aufforderung	Aufforderungen			request; demand	Trotz mehrerer Aufforderungen hat er das Zimmer nicht aufgeräumt.	Despite several requests he did not tidy the room.	2397
139	V		aufführen		aufgeführt	haben	to perform (on stage)	Das Theater führt diesen Monat ein neues Stück auf.	The theatre is performing a new play this month.	2239
140	N	die	Aufgabe	Aufgaben			task; exercise	Die Lehrerin erklärt die Aufgabe noch einmal für die Schüler.	The teacher explains the exercise once more for the pupils.	704
141	V		aufgeben		aufgegeben	haben	to give up; post (a parcel)	Gib nicht auf – du schaffst das bestimmt!	Don't give up – you can definitely do it!	879
142	V		aufhalten		aufgehalten	haben	to hold up; delay	Der Stau hat uns fast eine Stunde lang aufgehalten.	The traffic jam held us up for almost an hour.	666
143	V		aufheben		aufgehoben	haben	to pick up; keep	Heb den Kassenbon auf, falls du etwas umtauschen musst.	Keep the receipt in case you need to exchange something.	1848
144	V		aufhören		aufgehört	haben	to stop	Es hat endlich aufgehört zu regnen.	It has finally stopped raining.	385
145	V		auflösen		aufgelöst	haben	to dissolve	Löse das Pulver in einem Glas warmem Wasser auf.	Dissolve the powder in a glass of warm water.	2117
146	X		aufmerksam				attentive	Im Unterricht solltest du aufmerksam zuhören.	In class you should listen attentively.	1469
147	V		aufnehmen		aufgenommen	haben	to record; take in; admit	Wir nehmen das Interview mit dem Mikrofon auf.	We are recording the interview with the microphone.	1113
148	N	die	Aufnahme	Aufnahmen			recording; admission	Die Aufnahme des Liedes hat nur zwei Stunden gedauert.	The recording of the song took only two hours.	1287
149	V		aufpassen		aufgepasst	haben	to pay attention; look after	Pass bitte auf deine kleine Schwester auf!	Please look after your little sister!	793
150	V		aufräumen		aufgeräumt	haben	to tidy up	Am Samstag räume ich immer mein Zimmer auf.	On Saturdays I always tidy up my room.	1672
151	V		aufregen		aufgeregt	haben	to upset; get worked up	Ich rege mich über den lauten Lärm der Nachbarn auf.	I get worked up about the loud noise from the neighbours.	1737
152	V		auf sein		auf gewesen	sein	to be open; be up (awake)	Bist du schon auf oder schläfst du noch?	Are you already up or are you still sleeping?	15
153	V		aufstehen		aufgestanden	sein	to get up; stand up	Ich stehe jeden Morgen um sechs Uhr auf.	I get up every morning at six o'clock.	920
154	N	der	Auftrag	Aufträge			order; assignment	Der Auftrag muss bis Freitag fertig sein.	The assignment must be finished by Friday.	803
155	V		auftreten		aufgetreten	sein	to perform; appear	Die Band tritt heute Abend im Stadtpark auf.	The band is performing in the city park this evening.	1582
156	V		aufwachen		aufgewacht	sein	to wake up	Ich wache morgens immer vom Vogelgesang auf.	I always wake up in the morning to birdsong.	1187
157	X		aufwärts				upward(s)	Der Weg führt steil aufwärts zum Gipfel des Berges.	The path leads steeply upward to the summit of the mountain.	2341
158	N	der	Aufzug	Aufzüge			lift; elevator	Der Aufzug ist kaputt, deshalb müssen wir die Treppe nehmen.	The elevator is broken, so we have to take the stairs.	1484
159	N	das	Auge	Augen			eye	Meine Tochter hat schöne blaue Augen wie ihre Mutter.	My daughter has beautiful blue eyes like her mother.	512
160	N	der	Augenblick	Augenblicke			moment; instant	Einen Augenblick bitte, ich hole schnell Ihren Arzt.	One moment please, I will quickly get your doctor.	523
161	X		aus				from; out of; off	Sie kommt aus einer kleinen Stadt in Bayern.	She comes from a small town in Bavaria.	41
162	N	die	Ausbildung	Ausbildungen			vocational training	Er macht eine Ausbildung als Elektriker bei einer Firma.	He is doing vocational training as an electrician at a company.	1424
163	N	der	Ausbildungsplatz	Ausbildungsplätze			apprenticeship place	Sie hat nach vielen Bewerbungen endlich einen Ausbildungsplatz gefunden.	After many applications she finally found an apprenticeship place.	2570
164	X		ausgebildet				trained; qualified	Die ausgebildete Krankenschwester arbeitet in einem großen Krankenhaus.	The trained nurse works in a large hospital.	1744
165	V		ausdrucken		ausgedruckt	haben	to print out	Bitte drucke das Formular aus und bringe es zum Amt.	Please print out the form and bring it to the office.	2474
166	N	der	Ausdruck	Ausdrücke			expression; printout	Dieser Ausdruck ist in der deutschen Sprache sehr häufig.	This expression is very common in the German language.	1373
167	X		auseinander				apart	Die beiden Freunde sind nach dem Streit auseinandergegangen.	The two friends parted ways after the argument.	1126
168	N	die	Ausfahrt	Ausfahrten			exit (motorway); driveway	Bitte blockieren Sie nicht die Ausfahrt unserer Garage.	Please do not block the driveway of our garage.	2244
169	V		ausfallen		ausgefallen	sein	to be cancelled; fail	Der Deutschkurs fällt heute wegen Krankheit der Lehrerin aus.	The German class is cancelled today because the teacher is ill.	2139
170	N	der	Ausflug	Ausflüge			excursion; outing	Die Klasse macht morgen einen Ausflug in den Zoo.	The class is going on an excursion to the zoo tomorrow.	1480
171	V		ausfüllen		ausgefüllt	haben	to fill in (a form)	Bitte füllen Sie dieses Formular mit Ihren Daten aus.	Please fill in this form with your details.	2083
172	V		ausgeben		ausgegeben	haben	to spend (money)	Ich gebe zu viel Geld für Kleidung und Schuhe aus.	I spend too much money on clothing and shoes.	1527
173	N	die	Ausgabe	Ausgaben			expense; edition; issue	Die monatlichen Ausgaben für Miete und Strom sind hoch.	The monthly expenses for rent and electricity are high.	1924
174	V		ausgehen		ausgegangen	sein	to go out; turn out	Wir gehen jeden Samstagabend aus und treffen Freunde.	We go out every Saturday evening and meet friends.	958
175	N	der	Ausgang	Ausgänge			exit; way out	Der Ausgang des Kinos ist links neben der Kasse.	The exit of the cinema is to the left of the ticket desk.	1420
176	N	die	Aushilfe	Aushilfen			temporary help; stand-in	Im Sommer arbeite ich als Aushilfe in einem Supermarkt.	In summer I work as temporary help in a supermarket.	2370
177	N	die	Auskunft	Auskünfte			information	Die Auskunft am Bahnhof ist täglich von acht bis zwanzig Uhr geöffnet.	The information desk at the station is open daily from eight to eight p.m.	2116
178	N	das	Ausland				abroad	Sie hat zwei Jahre im Ausland gelebt und viel gelernt.	She lived abroad for two years and learned a lot.	1588
179	N	der	Ausländer	Ausländer			foreigner	Als Ausländer muss man eine Aufenthaltserlaubnis beantragen.	As a foreigner you have to apply for a residence permit.	1882
180	X		ausländisch				foreign	In diesem Restaurant gibt es viele ausländische Gerichte aus aller Welt.	This restaurant has many foreign dishes from all over the world.	2571
181	V		ausmachen		ausgemacht	haben	to turn off; arrange; matter	Bitte mach das Licht aus, wenn du das Zimmer verlässt.	Please turn off the light when you leave the room.	1460
182	N	die	Ausnahme	Ausnahmen			exception	Heute machen wir eine Ausnahme und essen Kuchen vor dem Abendessen.	Today we are making an exception and eating cake before dinner.	1472
183	X		ausreichend				sufficient; adequate	Das Licht in diesem Zimmer ist nicht ausreichend zum Lesen.	The light in this room is not sufficient for reading.	1896
184	V		ausrichten		ausgerichtet	haben	to pass on (a message)	Ich richte meiner Schwester deinen herzlichen Gruß aus.	I will pass on your warm regards to my sister.	1471
185	V		ausschließen		ausgeschlossen	haben	to rule out; exclude	Der Arzt schloss eine ernste Erkrankung nicht aus.	The doctor did not rule out a serious illness.	2028
186	X		ausschließlich				exclusively; only	Dieses Geschäft verkauft ausschließlich biologische Lebensmittel aus der Region.	This shop sells exclusively organic food from the region.	2066
187	V		aussehen		ausgesehen	haben	to look; appear	Du siehst heute sehr müde aus, hast du nicht gut geschlafen?	You look very tired today, did you not sleep well?	607
188	V		aus sein		aus gewesen	sein	to be off; be over	Der Film war um halb zehn aus, dann gingen wir essen.	The film was over at half past nine, then we went to eat.	42
189	X		außen				outside	Das Haus sieht außen alt aus, innen ist es sehr modern.	The house looks old outside, but inside it is very modern.	1334
190	X		außer				except (for); besides	Alle kamen zur Feier, außer meinem Bruder, der krank war.	Everyone came to the celebration except my brother, who was ill.	341
191	X		äußerlich				external(ly)	Die Salbe wird äußerlich angewendet und nicht geschluckt.	The ointment is applied externally and not swallowed.	2375
192	X		außerdem				besides; in addition	Das Hotel ist günstig und außerdem sehr nah am Strand.	The hotel is affordable and besides that very close to the beach.	444
193	X		außerhalb				outside (of)	Sie wohnt außerhalb der Stadt und fährt täglich mit dem Bus.	She lives outside the city and travels by bus every day.	917
194	N	die	Aussicht	Aussichten			view; prospect	Von unserem Balkon haben wir eine wunderschöne Aussicht auf die Berge.	From our balcony we have a wonderful view of the mountains.	1444
195	V		aussprechen		ausgesprochen	haben	to pronounce	Wie spricht man dieses schwierige deutsche Wort richtig aus?	How do you correctly pronounce this difficult German word?	1674
196	N	die	Aussprache				pronunciation	Meine Aussprache im Deutschen wird mit jedem Monat besser.	My pronunciation in German gets better with every month.	2386
197	V		ausstellen		ausgestellt	haben	to display; issue (a document)	Das Amt stellt den neuen Personalausweis innerhalb einer Woche aus.	The office issues the new ID card within one week.	2166
198	N	die	Ausstellung	Ausstellungen			exhibition	Die Ausstellung über moderne Kunst ist bis Ende des Monats geöffnet.	The exhibition on modern art is open until the end of the month.	1847
199	V		aussuchen		ausgesucht	haben	to choose; pick out	Ich suche mir für den Urlaub ein schönes Hotel aus.	I am picking out a nice hotel for the holiday.	1557
